date,session,word,meaning,synonym_1,synonym_2,sentence_1,sentence_2
26-04-2021,2,credence,(n) acceptance of something as true,faith,trust,Copernicus received little credence when he suggested that earth was sphere,-
26-04-2021,2,deride,(v)  to mock; to express contempt for; to ridicule,scorn,-,The idea of a reprogrammable computer by Alan Turing was deride by his fellows,-
26-04-2021,2,buncombe,(n) nonsense,gibberish,balderdash,Salsesman talked a good deal of buncombe about his products,-
26-04-2021,2,imbecile,(adj) stupid; idiotic,doltish,silly,Try not to make any imbecile remarks in the interview,-
26-04-2021,2,divagate,(v) to stray; move away from normal path,errant,-,Chinese Army tried to divagate into Indian borders and were taught a good lesson,-
26-04-2021,2,bastion,(n) a projecting part of a fortification built at an angle to the wall to allow defensive fire; an institution place or person strongly maintaining particular principles attitude or activities,rampart,stronghold,The fort has five bastions,Cricket is the the last bastion of discrimination
26-04-2021,2,prim,(adj) proper formal and precise person; feeling or showing disapproval of anything regarded as improper,demure,-,She burst into such a loud laughter that even the prim guest had to join in,-
26-04-2021,2,portentous,(adj) of extreme significance,-,-,1857 was a portentous year in Indian History,-
26-04-2021,2,pertinacious,(adj) holding firmly to an opinion or a course of action,persistent,tenacious,Apart from his pertinacious fight for economy Hume was not always fortunate in his political career,-
26-04-2021,2,unremitting,"(adj) never resting, relaxing or slackening",incessant,relentless,I was spent to boarding school where I spent six years of unremitting misery,-
26-04-2021,2,chary,(adj) cautiously or suspiciously reluctant to do something,cautious,circumspect,The jury doubted her as she was chary of telling the whole truth,-
26-04-2021,2,opprobrius/ opprobrium,(adj)/(n) (of language) expressing scorn or criticism,abusive,vituperative,It is difficult to imagine the opprobrium heaped on a person who is a traitor to his or her group,-
26-04-2021,2,dubious,(adj) hesitating or doubting,uncertain,unsure,The crime succeeded because the cops were dubious in their plan of actions,-
26-04-2021,2,reproof,(n) expression of blame or disapproval,reproach,reprimand,She reproofed the cause of failure of the business to his partners,-
26-04-2021,2,barrage,(v) bombard (someone) with questions criticisms complaints etc,-,-,After the death of the patient his relatives barraged the doctors with infuriated allegations,-
26-04-2021,2,heckle,(v) interrupt (a public speaker) with aggressive comments or abuse,jeer,taunt,The orator was heckled and booed when he tried to speak on the stage,-
26-04-2021,2,incongruity,(n) state of not fitting or matching,incompatibility,-,There exists an incongruity between the tone of the poem and its underlying theme,-
26-04-2021,2,salubrious,(adj) healthy,-,-,The solubrious effects of exercise on physical and mental health are well documented,-
26-04-2021,2,disseminate,(v) to spread (something especially information) widely,disperse,promulgate,King Ashoka put all his resources and disseminated Buddhism across Asia,-
27-04-2021,1,anodyne,(n) something that calms or soothes pain,analgesic,painkiller,Some people us alcohol as an anodyne to numb their emotional pain,-
27-04-2021,1,apex,(n) the highest point,summit,pinnacle,"In India, internet usage reached its apex after Jio was launched",-
27-04-2021,1,corroboration,"(n) evidence which supports a statement, theory or finding",confirmation,attestation,There is no corroboration to prove that he is the culprit,-
27-04-2021,1,etiology,(n) causes or sources,-,-,The etiology of mental illness is complex because of a number of factors that contribute to it,-
27-04-2021,1,discerning,(adj) having or showing good judgement,perceptive,-,Discerning movie critics have praised the recent movie by Stanley Kubrik,-
27-04-2021,1,assignation,(n) an appointment to meet someone in secret typically one made by lovers,rendezvous,date,He has an assignation with Dorothy the girl he met on Tinder,-
27-04-2021,1,accretion,(n) growth in size or increase in amount,accumulation,appendage,The Big Bang Theory suggests that the Universe is still under a steady accretion,-
27-04-2021,1,peremptory,(adj) imperative; leaving no choice,incontrovertible,-,The words of the General were spoken in the peremptory tone of a man who is used to having his commands obeyed without question,-
27-04-2021,1,surly,(adj) bad tempered and unfriendly,grumpy,crotchety,After being denied the payment the gardner went away with a surly expression,-
27-04-2021,1,literati,(n) well educated people interested in literature,scholarly,-,Her novels are popular amongst the university literati but have failed to attract a huge audience,-
27-04-2021,1,inveterate,(adj) (of a feeling or habit) long established and unlikely to change,ingrained,incorrigible,The columnist is an inveterate iconoclast who continually questions the conventional wisdom,-
27-04-2021,1,eschew,(v) deliberately avoid using; abstain from,renounce,shin,Police appealed to the crowd to eschew violence and stay calm,-
27-04-2021,1,condone,(v) accept (behaviour that is considered morally wrong or offensive),-,-,College cannot condone any behaviour that involves illicit drugs,-
27-04-2021,1,conjugal,(adj) relating to marriage or relationship between married couple,matrimonial,nuptial,The biggest challenge for any girl is to find a suitable man to marry with whom they can live in conjugal happiness,-
27-04-2021,1,espouse,(v) adopt or support (a cause belief or way of life),embrace,-,The new theory has been espoused by many leading physicists making it worthy of an accolade,-
27-04-2021,1,intimate,(adj) closely acquainted,-,-,During 1990s Bob and Jerry were good though not intimate friends,-
27-04-2021,1,halcyon,(adj) denoting a period of time in the past that was calm peaceful happy and prosperous,serene,tranquil,Before the arrival of British were the halcyon years for India,-
27-04-2021,1,dispel,(v) to make (a doubt feeling or belief) disappear,banish,eliminate,Images from the space shuttle dispelled the claims of the flat earthers,-
27-04-2021,1,banal,(adj) so lacking in originality as to be obvious and boring,trite,platitudeness,The writer was so gifted that he could make the most banal observations to seem important and original,-
27-04-2021,1,malign,(v) speak about (someone) in a critical manner; speak evil of,slander,libel,Lawyers are sometimes maligned as greedy and mendecious,
27-04-2021,2,homeostatis,(n) automatic maintenance by an organism of normal temperature chemical balance ets within itself,-,-,An example of homeostatis in mammals in the regulation of glucose levels in the blood by pancreas,-
27-04-2021,2,fawning,(adj) seeking favor by flattering,obsequious,-,Boss has a reputation for hiring fawning employees,-
27-04-2021,2,promulgate,(v) promote or make widely known (an idea or cause),disseminate,propagate,The new rules have to be promulgated in the office as soon as possible,-
27-04-2021,2,bifurcate,(v) divide into two parts,-,-,Physics is bifurcated into two streams classical physics and modern physics,-
27-04-2021,2,cartography,(n) the science or practice of drawing maps,-,-,Satellites on Earth orbit take pictures of topography that have greatly aided cartography,-
27-04-2021,2,devolve,(v) transfer or delegate (power) to lower level; pass into (a different state expecially a worse one),delegate,degenerate,Lord Ram devolved his kigdoms administration to his younger brothers,Somehow the debate devolved into a petty competition to see who could get more applause
27-04-2021,2,riposte,(n) a quick clever reply to an insult or criticism,rejoinder,retaliation,The commander decided that the enemy attack must be countered with a quick riposte,-
27-04-2021,2,clique,(n) a small exclusive group,coterie,inner-circle,The Principle of High School is concerned that one clique of students is dominating the student council,-
27-04-2021,2,congregation,(n) a group of people assembled for religious worship,parishioners,flock,The entire congregation sang the psalm in the church,-
27-04-2021,2,patois,(n) a regional dialect; nonstandard speech; jargon,vernacular,-,"In India, English is highly affected by our local laungauges and now is widely regarded as a patois",-
27-04-2021,2,homily,(n) a tedious moralizing leture; a religious discourse (speech),platitude,sermon,The pastors homilies are published in a book,-
27-04-2021,2,sanguine,(adj) optimistic or positive especially in an apparently bad or difficult situation,bullish,buoyant,The college was too sanguine about the COVID crisis and hence reopened the campus,-
27-04-2021,2,exculpate,(v) to clear of blame,vindicate,-,The report exculpated the FBI of any wrongdoing in its handling of the investigation,-
27-04-2021,2,aspersion,(n) false rumor; attack of reputation,slander,denigration,Republic of Singapore is a young democracy and its leaders often respind strongly to journalists who cast asperations on their integrity,-
27-04-2021,2,expatiate,(v) speak or write at length (in detail),-,-,Every year the book club invites a famous author to come to expatiate on the art of writing,-
27-04-2021,2,specious,(adj) seeming to be logical and sound but not really so,misleading,deceptive,The article systematically rebuts the specious argument advanced by the so called experts of the field,-
27-04-2021,2,assiduous,(adj) showing great care and perseverence,diligent,sedulous,The assiduous people of Hong Kong live in a territory with one of the highest per capita income of the world,-
27-04-2021,2,execrable,(adj) extremely bad or unpleasant,appaling,abysmal,Living conditions in the slums are execrable,-
27-04-2021,2,dross,(n) something regarded as worthless,rubbish,detritus,One of the ways the dross among blogs on the Internet are filtered out from the worthwhile ones is through links good blogs provide to other good blogs,-
27-04-2021,2,sensual,(adj) relating to the senses; gratifying the physical senses especially sexual appetites,carnal,bodily,The yogi teaches his students that attachment to sensual pleasure is a hindrance to spiritual advance,-
28-04-2021,1,gambol,(v) run or jump about playfully,frolic,frisk,The children gamboled on the lawn while their parents had lunch,-
28-04-2021,1,apropos,(adj) relevant,appropriate,pertinent,"Apropos of nothing, the speaker declared that the purpose of life is love",-
28-04-2021,1,euphuism,(n) an artificial highly elaborate way of writing and speaking,-,-,The euphuism of a foregoing quotation can be readily detected,-
28-04-2021,1,hallowed,(adj) made holy,consecrated,santified,Geology and Biology made extreme progress when they freed themselves from the hallowed assumptions about life of humans and Earth,-
28-04-2021,1,arabesque,(n) a ballet position with one leg extended; an ornamental design consisting of intertwined flowing lines,-,-,The ballerina stunned the audience with her perfectly executed arabesque,The walls of the fort are ornamented with arabesque
28-04-2021,1,fallacious,(adj) based on a false assumption,erroneous,flawed,The belief of the Nazis that they could create a master race was based on a fallacious premise that some races are inherently superior to others,-
28-04-2021,1,perennial,(adj) persistent throughout the year,everlasting,perpetual,Perennial warfare has left most of the people of the country in poverty,-
28-04-2021,1,eugenics,(n) study of factors that influence the hereditary qualities of human race and ways to ameliorate them,-,-,Movie Captain America was based on a fictional military eugenics program to create super soldiers,-
28-04-2021,1,foibles,(n) a minor weakness in someones character,weak-point,-,In a conjugal relationship each individual has to tolerate the little foibles of the other,-
28-04-2021,1,anomalous,(adj) irregular; deviating from the normal,aberrant,abnormal,The psychologist discounted the anomalous behaviour of soldier saying it’s a minor post stress effect,-
28-04-2021,1,blase,(adj) bored or unconcerned because of frequent indulgance,-,-,We were amazed by Johns blase attitude towards school; he seems to have made a rule to never open a book,-
28-04-2021,1,ostentatious,(adj) showy; trying to attract attention,pretentious,flamboyant,Buying an expensive vacation villa would regard as an ostentatious display of wealth,-
28-04-2021,1,effervescence,(n) enthusiasm; process of bubbling as gas escapes,-,-,He was filled with great effervescence for the rematch,Effervescence is observed when Hydrochloric Acid reacts with limestone
28-04-2021,1,rococo,(adj) highly decorated,curlicued,-,The entrance rooms of the French Castle were decorated in the rococo style,-
28-04-2021,1,eulogy,"(n) high praise, especially for a person who has recently died",panegyric,accolade,"After the death of Abraham Lincoln, many eulogies of him appeared in the newspapers",-
28-04-2021,1,rescind,(v) to cancel,revoke,abrogate,The Salesperson said he would rescind his offer to sell goods at 10% discount if the payment is not made in 24 hours,-
28-04-2021,1,bolster,(v) to support or strengthen,reinforce,buttress,President has visited the state multiple times to bolster his sagging popularity there,-
28-04-2021,1,countenance,(v) admit as acceptable or possible,permit,-,The Paramilitary was reluctant to countenance the use of force to pacify the violent mob,-
28-04-2021,1,perfidious,(adj) disloyal; untrustworthy,treacherous,deceitful,The novel tells the story about the perfidious lover of the hero,-
28-04-2021,1,attenuate,(v) to weaken,diminish,impair,Long distance radio wave communication is accompanied by great signal strength attenuation,-
28-04-2021,2,igneous,(adj) produces by fire; volcanic,-,-,The presence of igneous rocks suggest that at some point of time this place had a volcanic erruption,-
28-04-2021,2,lucid,(adj) bright; clear; easy to understand,intelligible,comprehensible,Lucid explainations of the book are given in the handnotes,-
28-04-2021,2,choleric,(adj) bad tempered or irritable,grumpy,irascible,Because of the choleric librarian all readers have switched to e books,-
28-04-2021,2,discomfit,(v) make (someone) feel uneasy or embarrassed,abash,disconcert,The young man was discomfited being the only man in the play,-
28-04-2021,2,bombastic,(adj) high sounding but with little meaning,pompous,inflated,Nearly lost in the senators long bombastic speech were several sensible ideas,-
28-04-2021,2,vestal,(adj) pure,chaste,-,In many cultures it is extremely important to remain vestal before marriage,-
28-04-2021,2,imbroglio,(n) complicated situation,entanglement,-,The plot of Mission Impossible Series consists of an imbroglio in which Ethan Hunt finds himself,-
28-04-2021,2,amenity,(n) something that increases comfort,facility,convenience,Many amenities like Internet which are considered normal now were beyond imagination a few years ago,-
28-04-2021,2,tenuous,(adj) very weak and slight,negligible,insubstantial,There is a tenuous link between your luck and your rewards; it mostly depends on your dedication,-
28-04-2021,2,emollient,(adj) soothing,mollifying,-,The politicians speech is filled with emollient phrases to make his message more palatable,-
28-04-2021,2,litigation,(n) process of taking legal action,lawsuit,-,The radio amateurs neighbor resorted to litigation in an attempt to have her neighbor dismantle his 100ft high antenna tower,-
28-04-2021,2,satiate,(v) to satisfy,-,-,The bully satiated his fury by pummeling the helpless little boy,-
28-04-2021,2,covert,(adj) hidden; secret,clandestine,surreptitious,The CIA often runs covert operations for national security,-
28-04-2021,2,centrifugal,(adj) moving away from the center,-,-,As the empire expanded there was an ever increasing centrifugal stress as remote colonies sought autonomy,-
28-04-2021,2,entrenched,"(adj) (of an attitude, habit or belief) firmly established and difficult or unlikely to change",inveterate,ingrained,The organization was often criticized for being too entrenched in its views,-
28-04-2021,2,contend,(v) assert something as a position in an argument,claim,argue,Einstein contended that light is both a particle and a wave,-
28-04-2021,2,kudos,(n) praise and honor received for an achievement,prestige,cachet,Kudos won by Dhyanchand include an honorary title of Major by Indian Army,-
28-04-2021,2,consort,(v) habitually associate with (someone) typically with the disapproval of others,associate,mingle,He chose to consort with the enemies and betray his own king,-
28-04-2021,2,refulgent,(adj) shining very brightly,-,-,The queen had a necklace of jewels in the middle of which was a large refulgent diamond,-
28-04-2021,2,paucity,(n) presence of something in only small and insufficient quantities; shortage,scarcity,dearth,The kingdom being under siege for months now had a paucity of food supplies,-
29-04-2021,1,archeology,(n) study of material evidence of past human,-,-,Carbon-14 dating is of great use in archeology,-
29-04-2021,1,apogee,(n) highest point in the development of something; point in an orbit most distant from the body being orbited,climax,culmination,The Ottoman Empire reached its apogee in 17th century when it controlled a territory running from Budapest to North Africa,-
29-04-2021,1,euphemism,(n) use of agreeable or inoffensive language in place of unpleasant or offensive language,substitution,-,Sleep came to be used as a euphemism for Death,-
29-04-2021,1,etymology,(n) origin and history of a word,derivation,-,The origin of word barbarian reflects the ethnocentrisim of the ancient Greeks; its etymology is that it comes from the Greek word barbaros meaning non-Greek,-
29-04-2021,1,glib,(adj) (of words or a speaker) fluent but insincere and shallow,slick,pat,Sharons parents were not satisfied by her glib explaination of why she failed in the exam,-
29-04-2021,1,endow,(v) provide with a quality ability or asset,furnish,equip,Hercules was endowed with tremendous physical strength,-
29-04-2021,1,flourish,(n) embellishment or ornamentation,-,-,The Sophists often gave interminable speeches full of rhetorical flourishes,-
29-04-2021,1,incorporate,(v) take in or contain (something) as part of a whole; include,combine,absorb,Great authors always tried to incorporate their life experience into their books,-
29-04-2021,1,trample,(v) tread on and crush; treat with contempt,stamp,disregard,The fence has been trampled down by the mob,The statesman ought not to trample upon the opinions of his Church advisors
29-04-2021,1,catalyst,(n) something causing change,-,-,The rumor of greasing catridges with cow fat acted as a catalyst for revolt of 1857,-
29-04-2021,1,canon,(n) an established principle; a group of literary works,principle,oeuvre,The biased selections violated the canons of equal opportunity,The Shakespere canon is very enlightening
29-04-2021,1,lull,(n) temporary interval of quite and lack of activity,respite,pause,For two days there had been a lull in the fighting,-
29-04-2021,1,discordant,(adj) not in true; disagreeing,incongruous,-,In a pluralistic society there exists a cacophony of discordant voices each shouting to be heard,-
29-04-2021,1,intractable,(adj) hard to control or deal with,unmanageable,ungovernable,General practitioners are equipped to deal with most psychosomatic disorders but in intractable cases a psychiatrist is consulted,-
29-04-2021,1,dread,(n) great fear,apprehension,-,The thought of returning to London filled her with dread,-
29-04-2021,1,elicit,"(v) evoke or draw out (reaction, answer or fact) from someone",extract,evoke,The cops tried to elicit the truth from her via a rigorous questioning session,-
29-04-2021,1,log,(n) official record of events during the voyage of ship; part of trunk of a tree,journal,bole,The Navy maintains a meticulus record of their day logging the details of each individual,Logs of wood were set on fire
29-04-2021,1,jocularity,(n) quality of being happy and liking to make jokes,-,-,Coach exchanged a few words of jocularity with the team to reduce their stress,-
29-04-2021,1,implacable,(adj) incapable of being pleased,unappeasable,-,Once an implacable foe of capatalism China now seems to embrace it ,-
29-04-2021,1,cloister,(v) to confine or shut up (especially in a convent or monastry),seclude,sequester,The writer cloistered herself in a country house to finish her novel,-
29-04-2021,2,convention,(n) a way in which something is usually done ,-,-,Coding conventions about linting is as important as fixing errors,-
29-04-2021,2,convivial,(adj) sociable; firendly,amiable,affable,One of the jobs of the ambassador is to provide a convivial atmosphere for diplomats to meet,-
29-04-2021,2,waggish,(adj) humorous in a playful mischievous manner,impish,roguish,In the show Friends Chandlers attitude was waggish,-
29-04-2021,2,spectrum,(n) band of colours produced when light passes through a prism; broad range of related ideas or objects,-,-,The political science course deals with the whole spectrum of political ideologies,-
29-04-2021,2,effete,(adj) depleted of vitality; ineffectual,over-refined,-,The effete humanity is the reason of increased atrocious actions,-
29-04-2021,2,motif,(n) decorative designs especially a repeated pattern forming; dominant or recurring idea in artistic work,-,-,Colourful hand painted motifs adorn the boats,Superstition is a recurring motif in the book
29-04-2021,2,labile,(adj) liable to change; easily altered,-,-,Blood Pressure in human beings to varying degrees is liable,-
29-04-2021,2,assuage,(v) to make (an unpleasant feeling) less intense,alleviate,soothe,I did what little I could to assuage my guilt,-
29-04-2021,2,vapid,(adj) dull; tasteless,insipid,-,To relax in the evening Professor likes to watch vapid comedy shows,-
29-04-2021,2,audacious,(adj) bold; daring,intrepid,unflinching,The German Army was famous for its audacious surprise attacks on the Allied Forces,-
29-04-2021,2,query,(v) to question,inquire,-,Your query will be entertained at the help desk,-
29-04-2021,2,tiff,(n) a petty quarrel especially between friends or lovers,squabble,-,What we all thought was a tiff led to the divorce Utkarsh,-
29-04-2021,2,immutable,(adj) unchangable,inflexible,unyielding,If humans colonize on mars it would inscribe our immutable thoughts and beliefs in a new environment,-
29-04-2021,2,felicitous,(adj) well chosen or suited to the circumstances,suitable,fitting,The Constitution of India starts with a felicitous phrase We the people of India…,-
29-04-2021,2,epistemology,(n) branch of philosophy that examines the nature of knowledge,-,-,A major question in epistemology is whether the mind can ever gain objective knowledge,-
29-04-2021,2,centripetal,(adj) moving or tending to move towards the center,-,-,The gravitational force acts as a centripetal force to keep moon in its orbit,-
29-04-2021,2,diatribe,(n) bitter verbal attack,tirade,harangue,The speaker launched his diatribe against what he called the evils of technology,-
29-04-2021,2,intransigence,(n) stubbornness; refusal to compromise,-,-,Each side in the negotiations accused the other of intransigence so talks broke down,-
29-04-2021,2,convulated,(adj) (especially an argument or story) extremely complex and difficult to follow; twisted,labyrinthine,-,Unraveling the convulated genetic code is one of the great achievements of modern science,-
29-04-2021,2,veracious,(adj) truthful; accurate,veritable,unerring,The witness testimony appeared veracious at first but under cross-examination several inconsistencies appeared,-
30-04-2021,1,commensurate,(adj) corresponding in size or degree; proportional,corresponding,equivalent,With the increase in fuel proces the cost of commodities increased commensurately,-
30-04-2021,1,forestall,(v) prevent or obstruct (an anticipated event or action) by taking advanced actions; delay,pre-empt,-,The government took steps to forestall an economic downturn,-
30-04-2021,1,cathartic,(adj) providing psychological relief through the open expression of strong emotions,purgative,-,Crying is the best cathartic release,-
30-04-2021,1,rubric,(n) a heading or a title on a document; a category; a set of instructions or rules,protocol,-,The data was so diverse that the Scientist had to design a new rubric to organize it,There is a rubric established to grade each essay
30-04-2021,1,plethora,(n) large or excessive amount of something,overabundance,superfluity,Because it deals with deaths and grieving the funeral business has produced a plethora of euphemism such as a slumber room,-
30-04-2021,1,squatter,(n) a person who unlawfully occupies an uninhabited building or unused land,-,-,The police helped in order to evict the squatters from the old school building,-
30-04-2021,1,primordial,(adj) original; existing from beginning,primeval,prehistoric,Polytheism is regarded to be devulved from primordial Monotheism,-
30-04-2021,1,feral,(adj) (especially of an animal) in a wild state especially after escape from captivity,untames,-,Feral dogs after domestication sometimes form a pack and are becoming a threat to humans,-
30-04-2021,1,explicate,(v) analyse and develop (an idea or principle) in detail,explain,-,A recent study tries to explicate the relationship between crime and economic forces,-
30-04-2021,1,lucre,(n) money especially when regarded as sordid,profits,-,Many religions regard the pursuit of lucre as a sin,-
30-04-2021,1,introspective,(adj) contemplating ones own thoughts and feelings,self-examining,brooding,Poems by Robert Frost are mostly introspective,-
30-04-2021,1,laud,(v) praise (a person or their achievements) highly,extol,hail,The King lauded the Knight as a great soldier,-
30-04-2021,1,impair,(v) to damage or weaken (especially a function),injure,diminish,Alcohol has been shown to seriously impair the functioning of the brain,-
30-04-2021,1,tremulous,(adj) shaking or quivering slightly,trembling,unsteady,Due to nervousness Barbaras voice was tremulous on stage,-
30-04-2021,1,innate,(adj) inborn; natural,inbred,congenital,Monica had innate capacity for organization,-
30-04-2021,1,verbose,(adj) using or expressed in more words than required,wordy,loquacious,A skillful editor cut 20% of words from verbose manuscript keeping the meaning intact,-
30-04-2021,1,euphoria,(n) a feeling of extreme happiness,excitement,-,There was euphoria in the Professors house after it was learned that she received the Nobel Prize,-
30-04-2021,1,vehemently,(adv) in a forceful passionate or intense manner; with great feeling,-,-,He vehemently denied any suggestion of improper conduct,-
30-04-2021,1,banter,(n) playful and friendly exchange of teasing remarks,repartee,ripostes,The Governor engaged in some banter with the reporters before getting into serious conversations,-
30-04-2021,1,inadvertently,(adv) without intention; carelessly,accidently,-,His name was inadvertently omitted from the list,-
30-04-2021,2,innocuous,(adj) harmless,safe,-,The bodyguard looks innocuous enough but under his jacket he holds lethal weapons,-
30-04-2021,2,incursion,(n) sudden invasion,-,-,At first Indians were not too concerned about the incursions of British Settlers but their anxiety grew later,-
30-04-2021,2,asunder,(adv) apart,-,-,Indian peninsula and the Islands of Sri Lanka are cut asunder by Palk Strait,-
30-04-2021,2,amulet,(n) ornament worn as a charm against evil spirits,talisman,totem,The use of amulets is really common in hindu culture,-
30-04-2021,2,supplicant,(n) one who asks humbly and earnestly,entreaty,appeal,The mother of the man sentenced to be executed appeared as a supplicant before the governor asking him to grant his son clemensy,-
30-04-2021,2,impervious,(adj) impossible to penetrate; incapable of being affected,impermeable,-,We were amazed how Laura could sit at the noisy party studying Chemistry impervious to the noise around her,-
30-04-2021,2,contrite,(adj) feeling or expressing remorse at the recognition that one has done wrong,remorseful,repantant,The convicted man did not seem to be at all contrite about his crime,-
30-04-2021,2,sentient,(adj) able to perceive or feel things,conscious,aware,Charles Darwin regarded many animals as being sentient and as having intelligence,-
30-04-2021,2,nettle,(v) irritate or annoy (someone),vex,irk,The ambiguous syllabus of the exam nettled the students,-
30-04-2021,2,spendthrift,(n) person who spends money recklessly,profligate,prodigal,A rich spendthrift never saves enough,-
30-04-2021,2,categorical,(adj) absolute; unambiguously explicit and direct,unconditional,-,Although gay-marriage was categorically banned by every religion in India the recent court judgement allows it,-
30-04-2021,2,sycophant,(n) a person who acts very attentively towards someone important in order to gain advantage,creep,crawler,We reported the sycophant following Emma to the Police,-
30-04-2021,2,trepidation,(n) a feeling of fear or anxiety about something that may happen,apprehension,dread,John tried to hide his trepidation when he proposed to Susie the girl he loved,-
30-04-2021,2,overweening,(adj) showing excessive confidence or pride,presumptuous,arrogant,Ancient greeks believed that overweening pride would eventually be punished by gods,-
30-04-2021,2,inane,(adj) lacking sense or meaning; silly,foolish,idiot,Do not badger people with inane questions,-
30-04-2021,2,compendium,(n) collection of brief concise but detailed information about a particular subject especially in a book,compilation,anthology,The AIESEC compendium puts forth all the governing rules of the body,-
30-04-2021,2,affinity,(n) fondness; liking; similarity,empathy,kinship,The female students in the class felt an affinity for ancient Greek Euripides because he was sympathetic with women,-
30-04-2021,2,proponent,(n) a person who advocates a theory proposal or course of action,advocate,promoter,He was a strong proponent of the LGBTQ rights,-
30-04-2021,2,accrue,(v) to accumulate; grow by additions,amass,accumulate,James has been accruing his bonuses for a lavish vacation,-
30-04-2021,2,dupe,(v) to deceive; trick,hoodwink,hoax,In friendship as well as love the mind is often duped by his heart,-
01-05-2021,1,presage,(v) to foretell; indicate in advanced,portend,augur,The work by Nostradamus presaged a ton of disasters of the modern world,-
01-05-2021,1,copious,(adj) abundant in supply or quantity,plentiful,-,The copious rainfall was welcomed by the farmers,-
01-05-2021,1,indiscernible,(adj) impossible to see or clearly distinguish,unnoticeable,imperceptible,An indiscernible figure shaped among the shadows,-
01-05-2021,1,goad,(v) provoke or annoy (someone) so as to simulate a reaction,to prod,badger,Goaded by his friends to try football Jeff went on to become a football star,-
01-05-2021,1,champion,(v) vigorously support or defend the cause of,advocate,espouse,Robinhood is famous for championing the underdogs of England,-
01-05-2021,1,tillage,(n) preparation of land for growing crops,-,-,Proper tillage is a non-negotiable for good quality crop,-
01-05-2021,1,coagulate,(v) (of a fluid especially blood) change to a solid or semi-solid state,congeal,clot,In humans blood begins to coagulate 20 sec after an injury is sustained,-
01-05-2021,1,homogeneous,(adj) composed of identical parts; uniform in composition,unvaried,consistent,Sugar and water forms a homogeneous mixture,-
01-05-2021,1,efficacy,(n) efficiency; effectiveness,-,-,A cardinal rule of medicine is that the efficacy of a medicine should be measured against its side-effects,-
01-05-2021,1,cadge,(v) ask for or obtain (something to which one is not strictly entitled),to beg,sponge,Poor old Uncle Thompson used to cadge some money for cigarretes from me,-
01-05-2021,1,inundate,(v) overwhelm (someone) with things or people to be dealt with; flood,overburden,deluge,James parents are inundated with the complaints against him from the neighbors,The Indonesian Islands may be the first to be inundated if sea level rises
01-05-2021,1,tyrannical,(adj) exercising power in a cruel or arbitrary way,dictatorial,oppressive,The movie Dictator is a comical example of tyrannical administration in action,-
01-05-2021,1,anachronism,(n) something out of proper time or period,-,-,Some experts regard the retirement age of 65 years as an anachronism at a time when people have longer life expectancies,-
01-05-2021,1,analgesic,(n) medication that reduces or eliminates pain,anodyne,palliviate,Aspirin is a powerful analgesic introduced in 1899,-
01-05-2021,1,phlegmatic,(adj) calm in temperament; stolid calm disposition,sluggish,-,This book can inspire a phlegmatic individual to adapt an enthusiastic nature,-
01-05-2021,1,stratified,(adj) arranged in layers,-,-,Graphite has a stratified structure of carbon sheets,-
01-05-2021,1,antecedent,(n) something that logically preceeds another,precursor,predecessor,Can you identify the antecendent that led to Janes breakdown?,-
01-05-2021,1,firmament,(n) sky,heaven,-,Stars were twinkling in the clear firmament,-
01-05-2021,1,pristine,(adj) in its original condition; unspoilt,untouched,uncorrupted,The banks sealed vault has kept the manuscript in pristine condition for 50 years,-
01-05-2021,1,bard,(n) poet,-,-,The great bards of english literature have all been masters in the technique of verse,-
01-05-2021,2,malinger,(v) pretend to be ill to skip work or duty,-,-,In order to discourage malingering company required the employees going on a sick leave to produce a doctors certificate,-
01-05-2021,2,incarnate,(adj) (especially of a deity or spirit) embodied in human form,-,-,People believe that Jesus Christ was God Incarnate,-
01-05-2021,2,ascribe,(v) regard something as being done due to (a cause),attribute,assign,The teacher ascribed Janes poor performance in the exam to her poor health,-
01-05-2021,2,boorish,(adj) rude; insensitive,coarse,uncouth,Bob apologized for his boorish behaviour saying he did not know it was such a formal occasion,-
01-05-2021,2,mollifying,(v) too soothe,emollient,appease,The Prime Minister tried to mollify people protesting the tax increase with a promise to raise revenue by other means,-
01-05-2021,2,arboreal,(adj) living in trees; relating to trees,-,-,Monkeys are arboreal animals,-
01-05-2021,2,austere,(adj) severe or strict in manner; having no comfort or luxuries,stern,ascetic,The retired general was an austere man with rough outlook to things,Conditions in prison could hardly be more austere
01-05-2021,2,exhort,(v) strongly encourage or urge (someone) to do something,enjoin,adjure,Adams friends exhorted him to play football,-
01-05-2021,2,egress,(n) the action of going out of or leaving a place,departure,exit,This is the only gate for entry and egress of passengers,-
01-05-2021,2,gossamer,"(adj) light and delicate, like cobwebs",sheer,-,NASA believes that they can construct a gigantic gossamer spacecraft in the space using light weight material,-
01-05-2021,2,monolithic,"(adj) solid and uniform; unified whole; large, powerful and indivisible",rigid,intractable,In the 15th century there was a significant movement to revitalise the Church from within however it had become so monolithic over the centuries that the reform was ineffective,-
01-05-2021,2,trope,(n) a figurative or metaphorical use of a word or expression (especially recurring),-,-,A car chase is a standard trope of the Hollywood film not the traffic jam,-
01-05-2021,2,analogous,(adj) comparable,similar,corresponding,The research postulates that the brain is analogous to a digital computer,-
01-05-2021,2,impecunious,(adj) having little or no worth,indigent,penurious,The biography tells us how he went from a impecunious student to a rich businessman,-
