,correct,incorrect
0,concoct,
1,contemplative,
2,document,
3,extripate,
4,conciliatory,
5,profane,
6,concomitant,
7,dissentious,
8,discretion,
9,extraneous,
10,divulge,
11,rivulet,
12,condescending,
13,contrive,
14,epigram,
15,discrete,
16,foliage,
17,doctrinaire,
18,despotism,
19,anthopology,
